Instance,Income
111994,34486.389497
111995,12579.056832899998
111996,30450.753771
111997,107052.11707300002
111998,29944.972345
111999,92153.399688
112000,104464.388525
112001,56829.07975600001
112002,37342.453073
112003,109651.455448
112004,11292.790281500002
112005,196005.95989
112006,28636.860206
112007,105907.16434599999
112008,251186.41859
112009,73123.814902
112010,40034.858226
112011,27630.240165999996
112012,20960.8864025
112013,13194.9636516
112014,129130.09974200002
112015,49262.480506
112016,51819.046354
112017,26159.920942
112018,139639.609437
112019,49618.50689800001
112020,38042.397013
112021,27807.802192000003
112022,92725.65235100001
112023,56326.012313
112024,26439.136075
112025,77192.322933
112026,34688.90911
112027,61049.322347999994
112028,37375.233208
112029,50515.247147
112030,185683.96705000004
112031,202052.27094
112032,279611.7953
112033,104926.98018899998
112034,206215.32995999997
112035,110068.69881200002
112036,192155.41963800002
112037,142337.85175700003
112038,196667.18287
112039,48421.997374000006
112040,71286.201068
112041,65778.783814
112042,42290.40158
112043,64141.508918999985
112044,44851.301269999996
112045,17656.869599399997
112046,257142.26344999997
112047,31285.718773
112048,24703.633031999998
112049,99712.564074
112050,45337.755366000005
112051,77320.92838299999
112052,119943.24828799997
112053,196272.72023
112054,84635.56110400001
112055,27542.392959999997
112056,92750.333434
112057,24495.125379
112058,31846.954994
112059,37703.777003999996
112060,322688.83259999997
112061,149094.508214
112062,211321.84921
112063,68388.70017399998
112064,24038.344696000004
112065,53992.97024770001
112066,7599.777478950001
112067,109277.067218
112068,45606.115217
112069,251862.42712999997
112070,280069.91878999997
112071,49960.574362
112072,73119.64930299998
112073,41556.734623000004
112074,26146.955989000002
112075,36311.83260470001
112076,144239.81098399998
112077,1115210.88546
112078,8181.681471999999
112079,160874.329617
112080,87981.71996
112081,901319.3743100001
112082,38449.981788
112083,43896.548265
112084,16963.045367
112085,40687.402930000004
112086,34223.082263000004
112087,59518.69179999999
112088,141266.431356
112089,55764.10416900001
112090,169337.34717999998
112091,43718.61503
112092,30695.399065000005
112093,85663.395855
112094,33993.867948
112095,48991.39988999999
112096,116615.28397299998
112097,20119.016358999997
112098,34437.792329
112099,32675.321852
112100,39632.48077400001
112101,157711.55139
112102,34860.078398
112103,127660.18586000001
112104,71128.396844
112105,44789.254892000004
112106,87954.766431
112107,119851.23771699998
112108,62148.68293699999
112109,30695.807912
112110,48206.830497
112111,32137.097602
112112,79558.00869999999
112113,71467.501028
112114,69381.682588
112115,18816.601306800003
112116,39533.253736
112117,90576.33255099998
112118,28694.092550999998
112119,30013.231877000002
112120,510831.94301000016
112121,102759.53189200001
112122,487591.68565999996
112123,195156.88178800003
112124,38858.366655000005
112125,213277.48022999996
112126,168907.35274000003
112127,20240.068547
112128,41295.956372
112129,113707.075474
112130,86967.84637900001
112131,19493.33435552
112132,86089.127725
112133,277772.03294
112134,14734.683771499997
112135,19105.23356
112136,54339.816549
112137,13607.528836899999
112138,38431.145099
112139,58938.706637999996
112140,43024.793813000004
112141,40203.06731500001
112142,63031.40167000001
112143,184581.903701
112144,30228.62046
112145,29452.843579
112146,39535.126214
112147,243120.24159
112148,50130.039855
112149,72526.14741
112150,9252.5048592
112151,336285.48225
112152,89065.98263999999
112153,58898.77572399999
112154,28577.577078300004
112155,100892.750997
112156,71847.18996
112157,80971.808256
112158,33819.191495
112159,276410.20935
112160,55324.23533000001
112161,145531.83267
112162,76911.67685000002
112163,11672.0991772
112164,24089.5830621
112165,138830.55086999998
112166,48224.738165999996
112167,18664.2011641
112168,50077.108561999994
112169,274517.12273000006
112170,221526.64126000003
112171,44128.22436000001
112172,20382.105498
112173,112799.3782
112174,38900.485182
112175,38818.51446
112176,31716.565344000002
112177,96363.89888800001
112178,21036.680878
112179,30701.282587
112180,37553.903523999994
112181,9846.743370400001
112182,268277.82129
112183,94768.763515
112184,25676.890677
112185,294203.42334999994
112186,9697.3242418
