Instance,Income
111994,35014.645749
111995,12380.0939361
111996,29621.095137000004
111997,106011.697177
111998,29340.245513
111999,92077.101532
112000,103643.09411800002
112001,57303.015065
112002,35983.054189
112003,112391.035702
112004,11792.4305476
112005,202361.47638000004
112006,28616.128222
112007,107557.78289299998
112008,253987.19315999997
112009,75344.01611399998
112010,41440.781746
112011,28327.540048000003
112012,21598.148772999997
112013,13561.961699930001
112014,122505.09321
112015,46696.465333
112016,52517.884775
112017,26334.098226000002
112018,140251.97473800002
112019,47746.16739599999
112020,37660.010547
112021,27439.148486000002
112022,92595.441468
112023,57603.82435600001
112024,26298.00621
112025,78663.25186000002
112026,34621.655958
112027,64547.76489000001
112028,38402.130423
112029,52527.313205
112030,182779.32185
112031,208717.27693
112032,276442.83217999997
112033,108685.72193100001
112034,203194.37775
112035,107371.62055800001
112036,189979.50667
112037,142514.197957
112038,191796.17805300004
112039,48798.611699999994
112040,70669.77579700001
112041,65388.313849000006
112042,41687.297796000006
112043,68686.99753100002
112044,45987.248230000005
112045,18232.217335600002
112046,257564.67523
112047,30451.578937000002
112048,25459.960008999995
112049,99553.89661899998
112050,46060.686595
112051,75591.56425000001
112052,115563.041416
112053,199687.55836999996
112054,81087.72705700001
112055,28075.830467
112056,95573.370234
112057,24730.5345778
112058,29030.114511
112059,38052.452837000004
112060,314002.00403999997
112061,145525.1838606
112062,206731.44717
112063,70237.593677
112064,24075.283893
112065,56605.102003000015
112066,7535.725874480001
112067,110201.06874499998
112068,45560.06921600001
112069,251500.18292
112070,282266.21012000006
112071,50039.069269
112072,76215.162419
112073,42354.73330199999
112074,27021.142648
112075,30834.426048600006
112076,145550.171982
112077,1108307.1356600001
112078,8300.018701600002
112079,158446.89903
112080,86428.077281
112081,904106.57721
112082,37904.679194
112083,37897.59991800001
112084,19671.256207499995
112085,41268.517069999994
112086,33336.04404
112087,58858.504648999995
112088,138024.09780599998
112089,54771.634459
112090,169779.09544
112091,44162.89285999999
112092,29444.155938
112093,93574.34967399998
112094,33970.012095
112095,49120.72191
112096,117000.43233000001
112097,19551.407599
112098,35799.243383
112099,32230.634309000005
112100,39753.057453
112101,161232.952266
112102,30686.321342000003
112103,129661.79177000001
112104,69386.30864799999
112105,47051.885607000004
112106,91666.02267199999
112107,115097.907895
112108,61192.12631099999
112109,29612.218381000006
112110,44834.585523
112111,32615.873662500002
112112,79004.80732200001
112113,73840.03544400001
112114,69701.73682100001
112115,17692.619769400004
112116,41101.45954899999
112117,92549.213064
112118,29290.606209999998
112119,29515.728370999997
112120,519686.3969899999
112121,105889.83025700001
112122,469861.57210999995
112123,189671.69187799998
112124,39555.075522
112125,213228.30387
112126,179055.32179200003
112127,20239.647349
112128,41358.195842999994
112129,106103.996052
112130,85618.474499
112131,18477.8299992
112132,86609.454693
112133,271502.13506999996
112134,15548.4157462
112135,18602.828335000002
112136,56289.956577
112137,13264.7978006
112138,38150.038530000005
112139,58671.811682
112140,44164.353365
112141,40852.508634000005
112142,66367.096236
112143,184663.91207000002
112144,31174.624066
112145,29694.581064000005
112146,41886.640423
112147,240339.81371999998
112148,51719.024984
112149,73715.369537
112150,8835.858877899998
112151,330102.69474
112152,91308.49523799997
112153,56411.40919399999
112154,26799.144039000006
112155,101911.917922
112156,71710.483877
112157,79866.818181
112158,36350.61307000001
112159,268291.11238999997
112160,61366.04823500001
112161,150906.81048699998
112162,80051.902822
112163,11008.60433579
112164,25390.870764
112165,143577.82826399998
112166,49223.72006900001
112167,18825.628245700005
112168,52344.42556
112169,275407.26882
112170,223948.26528000002
112171,44751.147562000006
112172,20080.924301
112173,117412.74622
112174,38691.38331799999
112175,39129.113442999995
112176,31467.926341000006
112177,98097.750453
112178,21268.216203000004
112179,30546.382389
112180,37827.059947999995
112181,10096.9229458
112182,274987.3450900001
112183,94827.36449500002
112184,25811.516508999997
112185,293375.86459
112186,9740.2245275
112187,109112.058167
112188,120915.011019
112189,42852.383924
112190,34626.261046
112191,85845.239294
112192,187747.98787
112193,33824.589433
112194,153161.13574699996
112195,38885.828485
112196,28084.095865
112197,231659.07359
112198,32346.962806000007
112199,41885.170965000005
112200,58810.181154000005
112201,298745.45933
112202,113486.49083200001
112203,36968.040336000005
112204,40204.776543
112205,8747.6488516
112206,103119.70835399997
112207,335034.03880999994
112208,63630.650687
112209,376047.18343999994
112210,51041.142635000004
112211,256463.47120000003
112212,51948.194941
112213,21410.086224000002
112214,189428.12532
112215,41379.415253
112216,116258.17425300002
112217,36893.783181000006
112218,44459.954145
112219,397519.46595
112220,23955.438693999997
112221,8508.7839805
