Instance,Income
111994,35777.87918
111995,12304.9482061
111996,32246.931312399996
111997,105609.34157099998
111998,29755.340924
111999,88938.549421
112000,99444.85350699999
112001,58847.504528000005
112002,36528.097433
112003,107820.173475
112004,12014.169428599997
112005,194575.32913799997
112006,28530.802947
112007,105636.31899999999
112008,259051.09471
112009,75638.87877499999
112010,41671.724205000006
112011,28414.914289
112012,21723.957431299998
112013,13953.097538800002
112014,126336.620627
112015,47959.567628000004
112016,50443.097655000005
112017,26080.145995
112018,139923.92204
112019,48362.680686
112020,36425.454234
112021,27329.363402999996
112022,89053.010279
112023,58680.682246
112024,25698.502046
112025,79488.658231
112026,35683.374135000005
112027,62013.64397499999
112028,41045.455493
112029,51431.940110999996
112030,185035.06465999997
112031,210315.22903
112032,282059.84843
112033,106320.01272299999
112034,199779.23191
112035,106155.29902199998
112036,187147.30219000002
112037,148492.818842
112038,195264.43344
112039,48622.75346699999
112040,69947.890361
112041,65974.568204
112042,41830.695362
112043,67808.969587
112044,47184.338932
112045,18025.7232764
112046,251571.40785000002
112047,31980.980594999994
112048,25309.271258999997
112049,99066.04816800001
112050,45562.760552
112051,75528.757451
112052,126536.58128800002
112053,203250.06215
112054,82433.892715
112055,27789.068412
112056,95400.34346
112057,24302.609886
112058,30520.306111
112059,36570.001178000006
112060,315147.7334899999
112061,149995.70452700002
112062,198579.97448
112063,66476.58828
112064,23635.911637900004
112065,57688.845467
112066,6978.113835579999
112067,106098.580521
112068,44742.3758005
112069,252509.74546999997
112070,285589.69117999997
112071,48622.318281
112072,74978.708378
112073,43086.157890999995
112074,26850.459553
112075,34452.700430000004
112076,142730.633237
112077,1111905.65572
112078,8092.7949659000005
112079,163405.30122099997
112080,89232.95072000001
112081,855787.7766699999
112082,38896.049445
112083,46777.571228
112084,17547.850046300002
112085,40975.187719
112086,34209.622188999994
112087,59127.588526
112088,141488.384942
112089,53263.344816000004
112090,166147.964201
112091,43681.510759000004
112092,29097.3864656
112093,93196.24015
112094,33853.12952
112095,50091.11966799999
112096,116875.992016
112097,18667.590577999996
112098,34084.94607700001
112099,33455.444625000004
112100,39378.741388999995
112101,157733.91653
112102,32316.758837999998
112103,132192.34951799997
112104,71316.45649
112105,45188.566049
112106,89722.70944400001
112107,112588.797337
112108,62251.278651
112109,30770.727927999997
112110,45829.870279999996
112111,31640.043010999994
112112,79364.60459099998
112113,72978.04542400001
112114,70562.48276900001
112115,18857.8855423
112116,42657.062841000006
112117,89020.93812199999
112118,31060.045611999998
112119,30418.263185999996
112120,521433.42422000004
112121,105496.313447
112122,479025.3739700001
112123,193626.49889
112124,40794.945571000004
112125,211780.93972
112126,173150.79540000003
112127,19801.939727
112128,41511.086251
112129,108874.471547
112130,84756.14698599999
112131,18265.549627000004
112132,84652.88235400002
112133,259266.73617
112134,15563.771558500002
112135,18201.918122000003
112136,54507.57311099999
112137,13695.4311265
112138,39013.647487999995
112139,58370.127067999994
112140,43034.680458
112141,40209.68110500001
112142,61934.70398100001
112143,181432.849266
112144,31890.626589
112145,29688.371198
112146,42760.3918996
112147,253143.1276
112148,52025.433380999995
112149,70924.59754700001
112150,9203.605634939999
112151,334099.22935
112152,91406.246347
112153,59726.834938
112154,26076.196422
112155,100150.401147
112156,73680.58192499998
112157,81390.08128999999
112158,34999.92607
112159,265292.94722000003
112160,57335.26994299999
112161,151029.66934300002
112162,79097.245843
112163,11095.575950200002
112164,24137.0672059
112165,142123.826504
112166,48415.498197999994
112167,18846.219458
112168,50265.817814999995
112169,283526.06928000005
112170,223856.67623
112171,43174.584959
112172,20940.399532000003
112173,114565.886735
112174,38381.78756499999
112175,39999.902952
112176,31546.307204
112177,96351.46695399999
112178,21510.732743000004
112179,30807.69704
112180,37474.557562999995
112181,9673.38812794
112182,272951.1845
112183,96560.803023
112184,25958.499429
112185,293599.57154000003
112186,9694.3368953
112187,110023.98325200002
112188,118565.191505
112189,43563.798980999985
112190,35334.583891
112191,84769.97003
112192,183050.159733
112193,32691.032385
112194,151268.82513099996
112195,37679.10084399999
112196,28099.301161
112197,223887.48983
112198,32401.383511999993
112199,41880.914916999995
112200,57186.247389000004
112201,286210.74543
112202,122968.52149399999
112203,37496.378721
112204,39288.553828
112205,8552.648142999999
112206,99659.34677899998
112207,315296.94116000005
112208,64780.77498499999
112209,382284.7935
112210,50693.523599
112211,250389.27250999995
112212,51573.136256
112213,21264.363236099998
112214,190560.43250000002
112215,42429.86506900001
112216,111613.46392500002
112217,36535.223272999996
112218,44148.601202000005
112219,413539.49001999997
112220,24181.138661999998
112221,8733.694347699999
112222,32345.051646
112223,54614.319303
112224,149386.15146999998
112225,15801.7050507
112226,49055.40667
112227,56777.539873
112228,92476.378472
112229,58548.478568
112230,201057.83633000002
112231,17650.30495
112232,147872.39837200003
112233,25329.8911956
112234,41827.973096
112235,25902.767787999997
112236,101651.77031099999
112237,329994.39216000005
112238,41800.373131
112239,12625.9201752
112240,12417.291072799999
112241,22148.663793
112242,48953.20923700001
112243,63625.648709999994
112244,171006.26282
112245,93121.87465600001
112246,45695.23548
112247,403516.19178999995
112248,87251.080581
112249,15914.046277000001
112250,50751.688061
112251,52748.5331
112252,51920.537983
112253,26257.6462247
112254,270747.1284
112255,40343.845748
112256,36226.67851699999
112257,37421.14681300001
112258,446954.69718000013
112259,194996.80476899998
112260,119615.563938
112261,343818.8715100001
112262,91360.893011
112263,34167.716427
112264,79055.92233500001
112265,10467.44775034
112266,38858.65987799999
112267,53703.78641799999
112268,46347.743824000005
112269,385584.35848999996
112270,28774.640183
112271,76516.107519
112272,84211.75078700001
112273,155993.010888
112274,5318.0607021000005
112275,187273.83054000002
112276,174441.11943
112277,70032.613767
112278,33767.67574700001
112279,25395.063757000004
112280,123427.83584999999
112281,68012.08937700001
112282,196460.899745
112283,104238.96867500001
112284,69434.25794100002
112285,66972.265159
112286,39877.798455000004
112287,38317.540718
112288,83386.42211300001
112289,310732.57265
112290,209295.97827000002
112291,31586.562476000003
112292,513971.0319600001
112293,29072.367036999996
112294,343292.60047000006
112295,30521.6733301
112296,254964.92957
112297,64684.742579999984
112298,51030.896985
112299,41346.645447999996
112300,14238.805993799999
112301,34285.918932
112302,15088.4132048
112303,37709.49111399999
112304,160596.685367
112305,26287.385119000002
112306,52459.005476000006
112307,42735.59935999999
112308,101401.42406899999
112309,49392.643197000005
112310,36705.352356
112311,90999.291031
112312,28161.728454000004
112313,128164.50198799997
112314,28417.384621700003
112315,183866.09188000002
112316,43383.95519
112317,26540.341550399997
112318,28229.667219000003
112319,25454.308335
112320,789866.33873
112321,64565.65949700001
112322,21672.8483951
112323,115069.70008000001
112324,373190.10227000003
112325,221209.47199
112326,118610.94454099999
112327,176542.282351
112328,112819.28275599999
112329,127846.389138
112330,351089.20874
112331,347322.01338
112332,176525.13165199998
112333,331845.55017
112334,199636.63469000004
112335,59894.226844000004
112336,32039.279201000005
112337,245554.19429
112338,274768.02255
112339,244933.33117
112340,44875.6761
